Student_ID,UnixTime_mean,UnixTime_std,UnixTime_min,UnixTime_max,Row_mean,Row_std,Row_min,Row_max,Gaze X_mean,Gaze X_std,Gaze X_min,Gaze X_max,Gaze Y_mean,Gaze Y_std,Gaze Y_min,Gaze Y_max,Interpolated Gaze X_mean,Interpolated Gaze X_std,Interpolated Gaze X_min,Interpolated Gaze X_max,Interpolated Gaze Y_mean,Interpolated Gaze Y_std,Interpolated Gaze Y_min,Interpolated Gaze Y_max,Interpolated Distance_mean,Interpolated Distance_std,Interpolated Distance_min,Interpolated Distance_max,Gaze Velocity_mean,Gaze Velocity_std,Gaze Velocity_min,Gaze Velocity_max,Gaze Acceleration_mean,Gaze Acceleration_std,Gaze Acceleration_min,Gaze Acceleration_max,Fixation Index_mean,Fixation Index_std,Fixation Index_min,Fixation Index_max,Fixation Index by Stimulus_mean,Fixation Index by Stimulus_std,Fixation Index by Stimulus_min,Fixation Index by Stimulus_max,Fixation X_mean,Fixation X_std,Fixation X_min,Fixation X_max,Fixation Y_mean,Fixation Y_std,Fixation Y_min,Fixation Y_max,Fixation Start_mean,Fixation Start_std,Fixation Start_min,Fixation Start_max,Fixation End_mean,Fixation End_std,Fixation End_min,Fixation End_max,Fixation Duration_mean,Fixation Duration_std,Fixation Duration_min,Fixation Duration_max,Fixation Dispersion_mean,Fixation Dispersion_std,Fixation Dispersion_min,Fixation Dispersion_max,Saccade Index_mean,Saccade Index_std,Saccade Index_min,Saccade Index_max,Saccade Index by Stimulus_mean,Saccade Index by Stimulus_std,Saccade Index by Stimulus_min,Saccade Index by Stimulus_max,Saccade Start_mean,Saccade Start_std,Saccade Start_min,Saccade Start_max,Saccade End_mean,Saccade End_std,Saccade End_min,Saccade End_max,Saccade Duration_mean,Saccade Duration_std,Saccade Duration_min,Saccade Duration_max,Saccade Amplitude_mean,Saccade Amplitude_std,Saccade Amplitude_min,Saccade Amplitude_max,Saccade Peak Velocity_mean,Saccade Peak Velocity_std,Saccade Peak Velocity_min,Saccade Peak Velocity_max,Saccade Peak Acceleration_mean,Saccade Peak Acceleration_std,Saccade Peak Acceleration_min,Saccade Peak Acceleration_max,Saccade Peak Deceleration_mean,Saccade Peak Deceleration_std,Saccade Peak Deceleration_min,Saccade Peak Deceleration_max,Saccade Direction_mean,Saccade Direction_std,Saccade Direction_min,Saccade Direction_max
1,1680003517.1742692,214.86609062487312,1680003145.0289032,1680003889.243748,44664.0,25786.628085114193,1,89327,937.4788382391874,401.61784988882516,2.0,1821.0,535.8535191075129,208.46496022758504,1.0,1079.0,937.4534565613292,400.96479222692005,2.0,1793.66666666667,535.8662413859573,208.0946547651688,1.0,1079.0,580.3277920768774,4.649062595669228,532.1796875,601.113494873047,25.36575503265626,54.079946383293766,0.0,964.839544080395,-72.58395150324871,2987.190057353476,-72157.2254948496,41093.4526390186,1037.710848142964,636.8680606329647,1.0,2114.0,1034.8902482244368,635.3051445440755,1.0,2112.0,942.0859607836699,403.78012527848597,124.512820512821,1769.21344209791,531.9371540117918,208.22767595008008,4.99236815720808,1069.11783243774,353536.50510062283,209551.29675627837,28.86725,742961.45005,354102.3278472296,209340.3915022684,328.8433,744527.9338,565.8227466068611,989.5999989522758,65.327099999995,7874.40575,0.23204974069459444,0.08496074491803837,0.0573300317123657,0.797596199040897,1259.1043052837574,701.7245155366306,2.0,2493.0,1258.1043052837574,701.7245155366306,1.0,2492.0,372502.49564599793,196326.58528310488,378.87085,742936.41925,372547.13833353715,196328.0967753826,387.23005,742961.45005,44.642687539139516,19.276508315111347,7.35320000001229,117.190399999963,6.188819547546982,5.531948740641107,0.160358502174569,21.9732251394712,197.73122987310967,149.64101918439871,30.0110384850084,964.839544080395,8083.38203351411,5660.084373786944,1.84354528127916,41093.4526390186,-8671.750754798566,6821.704743703278,-72157.2254948496,-11.508061767309,178.81082780641935,118.7982009549375,0.0,359.944480851182
2,1676984992.2304103,257.05848185089314,1676984547.0160325,1676985437.380375,53435.0,30850.567296242705,1,106869,875.30461071425,433.5608964111991,0.0,1915.0,490.6374757947394,186.8499091232687,0.0,1077.0,875.3045405816994,432.8988528851062,1.0,1901.33333333333,490.65958326609643,186.37731537241578,0.0,1077.0,622.051709103453,9.534675350052735,474.146667480469,650.278656005859,24.996576449431007,49.20600221128668,0.0,743.08905719608,-17.885294013490807,2805.1276946583966,-46022.4382057334,32746.4215532937,1353.6984546342876,789.2023808850613,1.0,2759.0,1353.5967280755729,789.1403651850944,1.0,2758.0,870.2463056114258,436.70243064769613,11.7083333333333,1798.3308697591,486.52499193185304,184.38520310413156,13.3063119591331,1031.625,433202.80349589715,250427.8402372765,304.54495,890331.96075,433606.35023160523,250382.1735254284,562.857,890423.6059,403.546735708082,382.48685701997886,66.1791499999818,2625.30585,0.25496826081675805,0.09251399310628959,0.0440812678938583,0.722717804987213,1665.8008598312783,946.4301494315214,1.0,3301.0,1664.9359130364242,946.3497369088266,1.0,3300.0,450898.3834939407,253014.8612210119,54.5039,889823.65495,450940.5434174115,253015.69453569682,62.8512,889840.32945,42.15992347096061,19.931462292741287,7.3813000000082,116.6823,5.4317404773577875,5.162377187958958,0.0770267085480978,22.3520631082467,178.09142610164474,137.27099864904622,30.0145249117128,743.08905719608,7581.409016821594,5342.2460225359555,31.0373352376793,32746.4215532937,-7857.993682249425,6270.023316924188,-46022.4382057334,-9.48641225253309,190.4464552697768,112.1190738731015,0.0379693645631349,359.915117425784
3,1678717418.9027953,395.4724105587312,1678716734.0130155,1678718103.8632145,82207.0,47462.08924148479,1,164413,1003.2888226480059,421.53434416341037,8.0,1858.0,530.7356608797257,211.39316585406308,0.0,1080.0,1003.2876908853256,420.93996249379825,24.0,1858.0,530.7490108566333,211.0391322064738,0.0,1079.0,619.9222713411928,3.977912046606989,578.902221679688,641.481140136719,23.785755406546986,50.95089216695933,0.0,1106.49404556675,-46.185628195547494,2525.6012739733037,-46748.3561336688,26698.0204199705,1704.8768846295281,1070.7399457009867,1.0,3618.0,1704.5896914335467,1070.5636913999285,1.0,3617.0,1005.1384138971357,425.6217053255098,77.5989936886744,1804.44791666667,528.1165997621989,210.87350717708614,21.5440202470837,1057.42482552336,687331.21789843,392315.7551993666,607.245,1369698.0375,688002.4964211409,391952.2965755329,707.23705,1370114.67855,671.2785227108636,1294.00198430276,66.5348999999696,11074.08165,0.22435298462396583,0.08872404395690028,0.0379397532749523,0.808069637729346,2164.2244723483836,1178.6991442480335,1.0,4156.0,2164.2244723483836,1178.6991442480335,1.0,4156.0,755336.0269252792,374168.9294017767,382.28875,1369656.40195,755385.8201119502,374171.77550879656,398.9301,1369698.0375,49.7931866711185,22.695718999913836,7.82270000001881,125.224050000077,6.852801247969885,5.768076064053072,0.183233990278762,25.8506560036915,192.30339754177143,129.62296182854803,30.0820788693146,1106.49404556675,7368.369825280522,4522.320682501327,20.1734050954395,26698.0204199705,-7609.910522730184,5203.4394223631,-46748.3561336688,-4.4152757577458,172.9755532734516,118.53108084159078,0.0,359.949160812355
4,1676379208.1049006,265.0556628880953,1676378749.030006,1676379667.1583045,55096.5,31809.834768511453,1,110192,918.3002869858637,413.59624671409784,0.0,1918.0,492.8287473455951,205.32672395230895,1.0,1080.0,918.3333949904525,412.20011993644727,0.0,1918.0,492.8677666295893,203.1472412629524,1.0,1080.0,735.2432443069624,12.387726875167472,443.874572753906,813.618286132813,42.20202017151967,51.45516062049502,0.0,737.869551603474,-60.161655323304544,3745.029446283159,-54520.4348048214,68927.5305208536,954.8163415145794,534.1707584698911,1.0,1885.0,954.8163415145794,534.1707584698911,1.0,1885.0,859.4642117348604,414.6823019578794,154.673209759076,1732.72605144378,433.940911710214,168.55609430471222,50.2497509751277,1012.02595860556,502359.1494933148,238491.48239050581,1363.01055,913440.854,502608.9874916299,238492.18566039036,1429.62915,913515.97625,249.83799831524024,198.5461547115353,65.6346500001382,1433.32545,0.3462191328023331,0.09303984854729616,0.0407153215511485,0.896785323276787,4142.8525433251225,2276.2787339463794,1.0,8020.0,4142.8525433251225,2276.2787339463794,1.0,8020.0,480268.37973321887,247773.6007207036,354.7761,917266.78415,480308.01219937333,247775.48811821136,379.77165,917275.13695,39.63246615454419,27.280793752415903,7.21004999999423,174.984750000061,3.381260682948961,3.9594034633284227,0.0313846376324892,17.1912075644225,129.2326608677626,101.18010122560304,30.0062997389664,737.869551603474,6109.727089987369,4651.374312332811,4.27273198214837,68927.5305208536,-6270.0670067839865,5706.125785076826,-54520.4348048214,-0.12701556612938,177.2185384981545,106.81148248368598,0.0,359.947746681598
5,1676462788.3090866,367.96065135233846,1676462151.0248604,1676463425.5541687,76490.0,44161.3777525113,1,152979,920.3910509467278,436.0235141314306,12.0,1920.0,520.6022894861185,212.80210554327593,0.0,1080.0,920.4014537067608,435.5741912779042,12.0,1920.0,520.6404034401951,212.4280313609034,1.0,1080.0,646.5624479078223,16.071034103372213,504.410171508789,685.387512207031,19.9496664316497,42.02592149629199,0.0,917.370524839716,-58.13807725293297,2438.8800721693665,-72785.1178687945,40864.8524278083,1842.5280137088362,1098.2462807541356,1.0,3801.0,1845.861419087137,1095.7629702322436,1.0,3799.0,924.1089039394885,440.45654190612333,60.2328953656746,1877.36671491787,518.4980890012216,211.8571706863102,26.9806462578453,1061.67746113006,626984.6336189432,362803.3978530123,237.577,1274499.7228,627391.8319371617,362770.58027072885,2662.3618,1274807.976,407.1983182184323,346.0114231808328,66.5256000000518,2683.06319999998,0.22245789722471987,0.12021308678158797,0.0421204659073002,0.917365815250369,2133.9498976830155,1200.0870599022762,1.0,4124.0,2132.6539883782357,1199.6592782949406,1.0,4122.0,671473.9119850551,364886.7205634053,179.2425,1274466.3464,671513.9846208661,364888.8020755234,204.24025,1274499.7228,40.07263581094369,18.27260458946242,7.10204999998678,116.566050000023,4.845246705616774,4.546969020307101,0.152831318373231,19.6153795948634,163.2097742633572,119.37447661178582,30.0107519775001,917.370524839716,7098.141050332332,4706.249704882884,4.32304389843722,40864.8524278083,-7265.384845531682,5500.363678743739,-72785.1178687945,-2.89928974729021,188.03269202986854,111.89938450941986,0.0,359.989226066409
6,1679143347.186376,392.25102055716815,1679142668.031996,1679144043.4652796,81513.5,47061.69682979992,1,163026,975.9735169833231,452.38450475555067,0.0,1920.0,572.4734310759444,216.86662630699672,1.0,1080.0,975.9280507080414,449.31451218473,0.0,1920.0,572.5244134889236,212.8152735873463,1.0,1080.0,721.974184091708,19.617222365950738,405.971435546875,788.788940429688,43.889306760593826,54.222565553336565,0.0,1043.24176867588,-92.38964656636806,4746.874853085321,-78908.0473577051,59674.2109251101,771.42673331482,478.0875097765941,1.0,1616.0,771.3311297148682,477.6383338809859,1.0,1615.0,916.8284915548942,441.66594035377614,60.9981222240161,1829.80945952785,500.246420591123,198.36139542389478,71.0386320041728,1064.74688653067,344598.6135706825,286384.81745051476,10.87985,1282996.9812,344845.2440249375,286371.8400772765,352.4469,1283287.86785,246.6304542549936,173.90065927062474,66.0113000000129,1108.49425,0.3559001034314901,0.15166336717671594,0.0280919229016667,1.59414102360304,3767.0480799250704,2266.4869425712786,1.0,7903.0,3767.0480799250704,2266.4869425712786,1.0,7903.0,454502.7970522881,293561.2984504063,352.4469,1282741.8344,454540.299577958,293558.50277873396,419.0533,1282766.9014,37.50252567012958,25.873741883602303,7.19040000002133,175.021700000041,1.9779109496204221,2.385467794723281,0.0,16.0028878986238,118.90157221108484,91.22421609135058,30.0238315673553,1043.24176867588,6591.853225520668,5235.5454547604295,0.101135009693743,59674.2109251101,-6186.126077816174,6746.812719732757,-78908.0473577051,-2.04350311477176,181.679673452029,107.78221462147638,0.0,359.933454409117
7,1675688252.888277,313.45099704286764,1675687710.0279956,1675688795.765865,65155.5,37617.40112634045,1,130310,972.8868592616022,441.75381524788855,20.0,1918.0,555.3970571375659,213.8929012452689,0.0,1080.0,972.8890836511032,441.1106424758561,20.0,1918.0,555.414137850955,213.30364248119025,1.0,1079.0,661.1884865275,5.202314202296802,545.86328125,695.467041015625,26.34996897211728,45.228179262997294,0.0,723.235251950923,-40.733171109234185,2581.178756444665,-50249.3766904441,30294.3881569323,1786.6139542367232,1042.570655564674,1.0,3540.0,1786.5534995977473,1042.537790169604,1.0,3539.0,969.6765251767723,447.6784507031814,49.3493329397301,1885.30211521147,544.5518485360119,209.88994715664845,10.3830980567186,1068.09672560122,556698.2213953065,305482.7447538808,391.38935,1085741.64895,557021.422010538,305467.5016406525,524.73145,1086016.6059,323.2006152316317,376.43514814921235,65.9378000000143,3666.34675,0.25325006798254607,0.10748620424032725,0.0548873409698349,1.10030490880219,2641.2920067141285,1429.1535354340344,1.0,5069.0,2640.4448367677705,1429.0537073297708,1.0,5068.0,554076.9382590959,300148.3733727121,49.7419,1085724.94815,554118.8288659983,300150.51732519595,58.11185,1085741.64895,41.89060690223915,22.71564804292036,7.18385000000126,116.987800000003,4.8396479735611395,4.815285697593286,0.0409066210755444,24.469171694326,147.27202355376394,109.61018418602177,30.0262026868577,723.235251950923,6383.2590376774,4348.617747586287,9.64151143787302,30294.3881569323,-6351.518039452708,4904.8510999788605,-50249.3766904441,-3.0449803892627,176.72849580125904,113.39848629798243,0.0,359.888529752483
8,1675427468.8913286,189.33401341461058,1675427141.0319338,1675427796.7377317,39358.0,22723.207556739577,1,78715,892.9109297765996,376.7154962034998,1.0,1919.0,526.3194030677992,210.44713238822607,0.0,1080.0,892.9165078839092,375.8418403679033,1.0,1919.0,526.3454322493037,209.91178641079443,0.0,1079.0,663.077584632373,7.722719306034557,453.233642578125,1669.19262695313,27.904398328238425,54.074464345316315,0.0,737.601591552376,-37.79988200938683,2793.5616066232537,-42383.8817625094,28692.5385447016,907.9337391918123,616.9513216760965,1.0,2006.0,907.2481674467897,616.5153919257874,1.0,2004.0,889.0991076265964,373.45377806384136,62.7905243264088,1908.67652025019,522.5696926031974,204.62504590362218,17.7162549041429,1057.53125,309959.08076924295,181442.79550734384,8.9523,655604.1893,310588.003126619,180986.47893806515,358.9553,656029.0872,628.9223573760352,1434.899451264841,65.772500000021,9616.1731,0.27818695234577007,0.11453949496041402,0.0547005627094389,0.856851554235944,1382.1004204398448,786.0007402565367,1.0,2744.0,1382.1004204398448,786.0007402565367,1.0,2744.0,352353.28418721707,166337.86161632705,358.9553,655587.6027,352402.4293715394,166338.53406409515,375.7026,655604.1893,49.1451843224454,22.15473605014107,6.69474999999511,141.72795000003,5.73627064061652,4.692425315786243,0.100318469838195,21.5640260379885,171.97826352453671,120.71567213860153,30.0152816835903,737.601591552376,6758.148659164282,4518.5582631889865,21.0287241792293,28692.5385447016,-7055.942767647738,5357.175912174,-42383.8817625094,-3.33919936337316,174.94832925578476,115.82191951294642,0.0,359.963311138731
9,1676375293.0552673,332.60360955767317,1676374717.027004,1676375869.1193695,69137.5,39916.40989826949,1,138274,937.5837964238694,409.29448459781554,0.0,1913.0,532.8939352107491,200.50158839438558,1.0,1079.0,937.5465374095506,408.7381092891103,0.0,1906.0,532.89543070127,200.15103142500027,3.0,1079.0,588.4785912571422,16.845025419319207,547.456176757813,665.915985107422,25.068130377136164,48.207515406940324,0.0,731.988051876692,-51.68329270823731,2540.225480510488,-51687.5773182351,25574.4012465533,1523.4097786991265,908.1840578210715,1.0,3101.0,1521.3377347782132,907.2881211104856,1.0,3099.0,939.7924293093839,411.6165908196887,59.8333333333333,1859.0376344086,532.6095280833431,199.42906350081878,33.9814814814815,1062.86274509804,573635.991981398,327655.98958156275,110.3674,1151333.6555,574070.808836513,327598.2941042549,260.3768,1152183.6042,434.81685511481254,382.7423896492534,66.153149999911,3608.00525,0.24080527287041809,0.07045145290868639,0.0717906998731969,0.653624056457898,1771.7375922953452,987.9983939318709,1.0,3486.0,1769.9649393180505,987.8581182963245,1.0,3484.0,597960.0247526325,319668.34095427743,285.3952,1151233.66305,598008.8962898041,319669.4943164722,293.7145,1151242.0042,48.871537171752195,21.437531991980265,7.32270000001881,116.600349999964,6.569693407471855,5.524658053591786,0.165058413716025,27.2441742435643,187.1372872179543,123.29288980663465,30.0037862896754,731.988051876692,7369.518172811277,4239.587899757987,34.1901512587514,25574.4012465533,-7763.501480220683,5047.858012779696,-51687.5773182351,-8.39852511761964,174.42683960070104,116.33402493240698,0.0,359.960836793855
10,1677153688.0631738,295.05775815162275,1677153177.0280051,1677154199.0627944,61332.5,35410.19104721125,1,122664,924.8526239079408,428.119302282662,1.0,1917.0,559.4694037321286,218.71888776295532,2.0,1080.0,924.7721201130967,427.3461591205562,1.0,1913.0,559.4898155040484,218.2630667177695,2.0,1080.0,635.5415959546187,13.080381902140825,587.270874023438,783.177856445313,23.970108376753117,53.60601276682318,0.0,759.043888149835,-122.50078767256389,3230.951522526504,-47255.2983619171,35638.8039462218,1608.7441561141748,951.6219639371909,1.0,3260.0,1606.8429051542098,950.3791665248617,1.0,3258.0,921.7917150322982,426.5748603642301,11.900687470735,1851.83008764755,557.4871148842806,216.71291829729427,22.3484848484848,1075.59703079096,501137.9337280155,291561.26961406844,21.24795,1021279.97205,501502.7448472302,291562.7984844045,362.9446,1022371.5274,364.8111192147742,265.3570781409118,66.5672499998473,1999.68189999997,0.2207832912237008,0.09344838442605348,0.0565848504351335,0.802652108558216,1815.472450687823,1019.30023497231,2.0,3561.0,1814.472450687823,1019.30023497231,1.0,3560.0,526123.2413479073,285680.0755914929,362.9446,1021254.96935,526163.9361368659,285681.31136764534,387.90995,1021279.97205,40.6947889584404,17.401943797612052,6.92269999999553,116.813699999999,5.4350909062882,4.748712143201127,0.0487809076369366,20.3556491503593,200.02605964485784,152.91883701553905,30.0026551542563,759.043888149835,8472.22728656552,5753.608584916054,41.1891504563601,35638.8039462218,-9664.232871725695,7820.712978702137,-47255.2983619171,-1.44385583343412,178.2665035700359,115.81649483845429,0.0,359.965601897561
11,1676894270.5494912,331.1366272036005,1676893697.0385537,1676894844.0458355,68831.5,39739.74071589631,1,137662,976.2734188299996,409.2201179904221,9.0,1880.5,566.0488601486977,197.06960280863976,1.0,1080.0,976.2234357438265,408.7023658288375,9.0,1879.0,566.0507804165504,196.78245534252653,1.0,1078.0,525.6808642002607,8.565273721732366,462.648345947266,584.096893310547,25.88230300837729,57.607080099980536,0.0,1016.12281764207,-123.41030546559722,3123.824421608361,-73898.1968019392,77450.3104610784,1812.381820979048,1091.1601469316702,1.0,3742.0,1809.281840156396,1089.4716896487707,1.0,3739.0,981.2624484799776,411.5198372727278,56.6312121446232,1865.32047093897,562.9491177645417,194.48227576399015,92.6753940376365,1061.40523970365,566943.4766795998,324442.3220627177,4.66515,1146143.47935,567285.0354151833,324422.5541881059,354.71965,1147268.76385,341.55873558351476,282.7825883535894,60.1392999999225,2274.81334999995,0.19044440580606362,0.06692020496273415,0.0057818381044038,0.588339565320973,2093.8691263487644,1188.400803158261,1.0,4139.0,2093.306294387968,1188.13985122953,1.0,4138.0,604348.2681094988,320753.5864331021,354.71965,1146093.31585,604388.1383455239,320754.5756979511,379.7526,1146118.54745,39.87023602505947,19.64249214901505,6.24060000001919,108.231900000013,5.560289429529408,5.355606318153218,0.0207749316872328,27.3014952255378,194.08491803387838,147.54042807423397,30.0373719289077,1016.12281764207,7584.196782876427,5207.931990259896,8.26765591261658,77450.3104610784,-8352.83047276449,7022.302054398286,-73898.1968019392,-0.341392378683382,187.16494606018256,113.76715004003962,0.0,359.934218422114
